Pager usage is off.
Output format is csv.
BEGIN
database_name,db_user,postgres_version,export_timestamp,transaction_read_only
tecdex_saas,postgres,"PostgreSQL 16.15 (Ubuntu 16.15-0ubuntu0.24.04.1) on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0, 64-bit",2026-09-08 11:33:24.082996+00,on
DBN05_EXPORT_SECTION standards
standard_code,display_name,family,description,is_active,created_at,updated_at
ISO27001,ISO/IEC 27001 Information security management,information_security,"Sistema de gestion de seguridad de la informacion basado en riesgos, activos, controles y tratamiento.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
ISO42001,ISO/IEC 42001 Artificial intelligence management,ai_management,"Sistema de gestion para gobernanza, riesgos, supervision, transparencia y operacion responsable de sistemas de IA.",t,2026-05-06 18:00:36.670084+00,2026-05-06 18:00:36.670084+00
ISO9001,ISO 9001 Quality management,quality_management,"Sistema de gestion de calidad para procesos, cliente, proveedores, no conformidades y mejora.",t,2026-05-06 18:00:36.670084+00,2026-06-09 18:36:43.622399+00
DBN05_EXPORT_SECTION standard_versions
standard_version_id,standard_code,version_code,display_name,publication_status,certifiable,replaces_version,effective_from,transition_until,source_policy,notes,is_active
e97cee1b-e6a4-455e-b365-d84c84922aba,ISO27001,2022,ISO/IEC 27001:2022,published,t,,2022-10-25,,copyright_safe_summary,Version certificable vigente para SGSI.,t
fdf7c96d-6beb-4e63-b963-5905bf7b7850,ISO42001,2023,ISO/IEC 42001:2023,published,t,,2023-12-18,,copyright_safe_summary,Version usada por el producto para gestion responsable de sistemas de IA.,t
c863eac0-86f7-478c-860d-56c04fe4b524,ISO9001,2015,ISO 9001:2015,published,t,,2015-09-15,,copyright_safe_summary,Version certificable vigente para gestion de calidad en esta fase.,t
011fd602-7b95-4152-ad39-4172e3363e43,ISO9001,2026_FDIS,ISO 9001:2026 FDIS - preparacion de transicion,transition_prep,f,2015,,,copyright_safe_summary,Version FDIS/draft para preparacion. No reemplaza ISO 9001:2015 ni habilita certificacion final.,t
DBN05_EXPORT_SECTION controls_catalog
qa_control_id,qa_standard_code,clause,category,description,source_type,is_active,base_control_id,created_at,updated_at
95bf7557-c763-4050-8711-69193e42abd8,ISO42001,AIMS-OPS-04,Supervisión IA,"Se establecen mecanismos de supervisión humana sobre decisiones, recomendaciones o salidas relevantes de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
109a9a71-cf00-4a7d-91ef-9cc0aff62df2,ISO42001,AIMS-OPS-05,Transparencia IA,"Se documentan criterios de transparencia, explicación, comunicación y limitaciones del uso de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
7ceff11d-1e39-466a-88ee-8bcf4fc83b6a,ISO42001,AIMS-OPS-06,Proveedores IA,"Se evalúan, aprueban y monitorean proveedores, modelos externos y servicios de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
73c14eb0-ca97-4433-98f6-5d883ed45021,ISO42001,AIMS-OPS-07,IA generativa,"Se controla el uso de IA generativa mediante reglas de uso aceptable, revisión humana, trazabilidad y restricciones.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
98373d2d-ef00-4261-810f-9cd460051c41,ISO42001,AIMS-PLN-01,Riesgos IA,"Existe una metodología documentada para identificar, evaluar, tratar y monitorear riesgos asociados a sistemas de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
a68108b5-4112-4503-9034-e957e7b38063,ISO42001,AIMS-PLN-02,Objetivos IA,"Se definen objetivos medibles para la gestión responsable, segura y controlada de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
71e59b07-9727-4bcc-9e9b-d6741b570342,ISO42001,AIMS-SUP-01,Personas IA,"Se asegura competencia y conciencia del personal que diseña, opera, usa, administra o supervisa sistemas de IA.",generic,t,,2026-05-06 23:28:42.435794,2026-05-06 23:28:42.435794
2af6acb9-47fb-4a61-bd3b-e44e76e92c45,ISO9001,1,Cláusula 1: Alcance:,Mejora continua,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
48934add-d16a-42f8-84f3-51a507766a5e,ISO9001,1,Cláusula 1: Alcance:,Esta norma especifica requisitos para un sistema de gestión de calidad cuando una organización necesita demostrar su capacidad para proporcionar productos y servicios conformes.,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
bc31ec8c-64fb-42c7-8cd0-eedef5094632,ISO9001,1,Cláusula 1: Alcance:,Acciones correctivas,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
ed1e0845-c6a0-4539-a766-a70448beffdf,ISO9001,1,Cláusula 1: Alcance:,Gestión no conformidades,generic,t,,2026-04-14 13:29:26.168807,2026-04-14 13:29:26.168807
