tenant_id,module_key,module_name,is_enabled,enabled_at,disabled_at
df9add48-3404-4a51-aaa9-6beb68775f8f,grc_phase3_operations,Operación y continuidad GRC,f,,
df9add48-3404-4a51-aaa9-6beb68775f8f,nonconformities,No Conformidades,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,risk_matrix,Matriz de Riesgo,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,audits,Auditorías,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,assets,Activos,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,reports,Reportes,t,,
df9add48-3404-4a51-aaa9-6beb68775f8f,ai,IA,f,,
df9add48-3404-4a51-aaa9-6beb68775f8f,dealer_portal,Portal Dealer,f,,
df9add48-3404-4a51-aaa9-6beb68775f8f,admin_saas,Administración SaaS,f,,
e679a958-f2c6-4611-9880-1002124f2861,health,Health ISO,t,,
e679a958-f2c6-4611-9880-1002124f2861,controls,Controles,t,,
e679a958-f2c6-4611-9880-1002124f2861,evidences,Evidencias,t,,
e679a958-f2c6-4611-9880-1002124f2861,action_plans,Plan de Acción,t,,
e679a958-f2c6-4611-9880-1002124f2861,grc_phase1_core,Nucleo GRC Fase 1,f,,
e679a958-f2c6-4611-9880-1002124f2861,grc_phase2_integrated,GRC integrado Fase 2,f,,
e679a958-f2c6-4611-9880-1002124f2861,grc_phase3_operations,Operación y continuidad GRC,f,,
e679a958-f2c6-4611-9880-1002124f2861,nonconformities,No Conformidades,t,,
e679a958-f2c6-4611-9880-1002124f2861,risk_matrix,Matriz de Riesgo,t,,
e679a958-f2c6-4611-9880-1002124f2861,audits,Auditorías,t,,
e679a958-f2c6-4611-9880-1002124f2861,assets,Activos,t,,
e679a958-f2c6-4611-9880-1002124f2861,reports,Reportes,t,,
e679a958-f2c6-4611-9880-1002124f2861,ai,IA,f,,
e679a958-f2c6-4611-9880-1002124f2861,dealer_portal,Portal Dealer,f,,
e679a958-f2c6-4611-9880-1002124f2861,admin_saas,Administración SaaS,f,,
