tenant_id,capability_key,enabled,read_only,source,module_key,required_permission,effective_from,effective_until
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.data_trust,t,f,plan,metrics_bi,data.quality.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.engine,t,f,plan,metrics_bi,metrics.measure,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.indicators.read,t,f,plan,metrics_bi,metrics.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.indicators.technical,t,f,plan,metrics_bi,data.lineage.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.jobs.run,t,f,plan,metrics_bi,metrics.recalculate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.methodology.manage,t,f,plan,metrics_bi,metrics.manage,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.methodology.publish,t,f,plan,metrics_bi,metrics.publish,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.methodology.review,t,f,plan,metrics_bi,metrics.validate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,metrics.snapshots.publish,t,f,plan,metrics_bi,metrics.measure,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.docx,t,f,plan,report_studio,reports.generate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.pdf,t,f,plan,report_studio,reports.generate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.scheduled,t,f,plan,report_studio,reports.schedule,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.studio,t,f,plan,report_studio,reports.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,reporting.xlsx,t,f,plan,report_studio,reports.generate,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
697eefa4-3b56-4c8a-a7d4-6d512c40233e,risk.quantitative,t,f,plan,risk_manager,commercial.entitlement.read,2026-04-01 00:00:00+00,2027-03-31 00:00:00+00
70000000-0000-0000-0000-000000000701,ai.compliance,t,f,plan,ai_compliance,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,assurance.testing,t,f,plan,assurance_loss,assurance_tests.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,bi.dashboard_builder,t,f,plan,metrics_bi,dashboards.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,bi.executive_dashboards,t,f,plan,metrics_bi,dashboards.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,core.dashboard,t,f,plan,core,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,core.reports,t,f,plan,core,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.governance,t,f,plan,data_governance,data.catalog.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.impact_graph,t,f,plan,data_governance,data.lineage.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.lineage,t,f,plan,data_governance,data.lineage.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,data.semantic_layer,t,f,plan,data_governance,semantic.contracts.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase1,t,f,plan,grc_core,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase2,t,f,plan,integrated_grc,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,grc.phase3,t,f,plan,operations_grc,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,imports.excel,t,f,plan,operations_grc,operations.import,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,loss.events,t,f,plan,assurance_loss,loss_events.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,methodology.risk,t,f,plan,risk_manager,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.actions.propose,t,f,plan,metrics_bi,metrics.measure,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.actions.review,t,f,plan,metrics_bi,metrics.validate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.catalog,t,f,plan,metrics_bi,metrics.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.comparisons.read,t,f,plan,metrics_bi,metrics.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.data_trust,t,f,plan,data_governance,data.quality.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.data_trust,t,f,plan,metrics_bi,data.quality.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.engine,t,f,plan,metrics_bi,metrics.measure,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.indicators.read,t,f,plan,metrics_bi,metrics.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.indicators.technical,t,f,plan,metrics_bi,data.lineage.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.jobs.run,t,f,plan,metrics_bi,metrics.recalculate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.manage,t,f,plan,metrics_bi,metrics.manage,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.publish,t,f,plan,metrics_bi,metrics.publish,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.methodology.review,t,f,plan,metrics_bi,metrics.validate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,metrics.snapshots.publish,t,f,plan,metrics_bi,metrics.measure,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.docx,t,f,plan,report_studio,reports.generate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.pdf,t,f,plan,report_studio,reports.generate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.scheduled,t,f,plan,report_studio,reports.schedule,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.studio,t,f,plan,report_studio,reports.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reporting.xlsx,t,f,plan,report_studio,reports.generate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,reports.premium,t,f,plan,premium_reports,grc.export.generate,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,risk.quantitative,t,f,plan,risk_manager,commercial.entitlement.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,surveys.engine,t,f,plan,surveys_assessments,surveys.read,2026-07-29 16:44:23.387149+00,
70000000-0000-0000-0000-000000000701,tprm.suppliers,t,f,override,,commercial.entitlement.read,2026-08-03 19:42:58.403457+00,
