role_key,permission_key,is_allowed,permission_group,permission_is_active
viewer,data.lineage.read,t,data,t
viewer,data.quality.read,t,data,t
viewer,evidences.view,t,evidences,t
viewer,health.view,t,health,t
viewer,metrics.read,t,metrics,t
viewer,modules.view,t,modules,t
viewer,nonconformities.view,t,nonconformities,t
viewer,reports.download,t,reports,t
viewer,reports.read,t,reports,t
viewer,reports.view,t,reports,t
viewer,risk_matrix.view,t,risk_matrix,t
viewer,standards.view,t,standards,t
viewer,surveys.read,t,surveys,t
