role_key,permission_key,permission_group,is_allowed,permission_active
tenant_admin,semantic.sufficiency.manage,semantic,t,t
tenant_admin,semantic.sufficiency.publish,semantic,t,t
tenant_admin,semantic.sufficiency.read,semantic,t,t
tenant_admin,services.manage,operations,t,t
tenant_admin,services.read,operations,t,t
tenant_admin,standards.view,standards,t,t
tenant_admin,suppliers.approve,suppliers,t,t
tenant_admin,suppliers.assess,suppliers,t,t
tenant_admin,suppliers.manage,suppliers,t,t
tenant_admin,suppliers.portal.manage,suppliers,t,t
tenant_admin,suppliers.read,suppliers,t,t
tenant_admin,surveys.approve,surveys,t,t
tenant_admin,surveys.evaluate,surveys,t,t
tenant_admin,surveys.manage,surveys,t,t
tenant_admin,surveys.publish,surveys,t,t
tenant_admin,surveys.read,surveys,t,t
tenant_admin,surveys.respond,surveys,t,t
tenant_admin,users.assign_roles,users,t,t
tenant_admin,users.manage,users,t,t
tenant_admin,users.view,users,t,t
tenant_admin,workflow.manage,workflow,t,t
tenant_admin,workflow.read,workflow,t,t
tenant_admin,workflow.transition,workflow,t,t
viewer,actions.view,actions,t,t
viewer,assets.view,assets,t,t
viewer,audits.view,audits,t,t
viewer,controls.view,controls,t,t
viewer,dashboards.read,bi,t,t
viewer,data.catalog.read,data,t,t
viewer,data.lineage.read,data,t,t
viewer,data.quality.read,data,t,t
viewer,evidences.view,evidences,t,t
viewer,health.view,health,t,t
viewer,metrics.read,metrics,t,t
viewer,modules.view,modules,t,t
viewer,nonconformities.view,nonconformities,t,t
viewer,reports.download,reports,t,t
viewer,reports.read,reports,t,t
viewer,reports.view,reports,t,t
viewer,risk_matrix.view,risk_matrix,t,t
viewer,standards.view,standards,t,t
viewer,surveys.read,surveys,t,t
